station_raw,time_to_tokyo_min
ＪＲ山手線/田町駅,9.0
ＪＲ京浜東北線/西日暮里駅,13.0
東京メトロ半蔵門線/神保町駅,10.0
東京メトロ東西線/九段下駅,11.0
東京メトロ南北線/白金高輪駅,24.0
ＪＲ八高線/拝島駅,56.0
新交通ゆりかもめ/日の出駅,19.0
都営浅草線/三田駅,16.0
都電荒川線/荒川区役所前駅,38.0
東京メトロ半蔵門線/九段下駅,11.0
ＪＲ八高線/小宮駅,72.0
都営三田線/本蓮沼駅,34.0
東武東上線/ときわ台駅,35.0
東急池上線/雪が谷大塚駅,38.0
東急池上線/大崎広小路駅,30.0
ＪＲ京浜東北線/日暮里駅,13.0
小田急線/千歳船橋駅,39.0
小田急線/経堂駅,41.0
ＪＲ山手線/五反田駅,19.0
都営浅草線/五反田駅,19.0
ＪＲ中央線/水道橋駅,13.0
ＪＲ南武線/立川駅,40.0
東京メトロ千代田線/国会議事堂前駅,6.0
東京メトロ丸ノ内線/銀座駅,2.0
東急田園都市線/二子玉川駅,32.0
東急田園都市線/二子新地駅,37.0
東急田園都市線/用賀駅,42.0
西武多摩川線/多磨駅,48.0
東京メトロ日比谷線/八丁堀駅,2.0
京王相模原線/京王堀之内駅,69.0
ＪＲ中央線/三鷹駅,30.0
都電荒川線/宮ノ前駅,43.0
ＪＲ山手線/恵比寿駅,23.0
ＪＲ青梅線/牛浜駅,62.0
京王線/国領駅,55.0
京王相模原線/稲城駅,52.0
都営浅草線/新橋駅,3.0
東京メトロ丸ノ内線/中野坂上駅,22.0
都営大江戸線/中野坂上駅,22.0
ＪＲ中央線/東中野駅,27.0
東急東横線/渋谷駅,19.0
西武拝島線/西武立川駅,66.0
都電荒川線/滝野川一丁目駅,36.0
東武東上線/下赤塚駅,37.0
東京メトロ銀座線/青山一丁目駅,13.0
東京メトロ丸ノ内線/御茶ノ水駅,5.0
東京メトロ南北線/白金台駅,28.0
京急本線/泉岳寺駅,20.0
東京メトロ日比谷線/上野駅,5.0
ＪＲ南武線/登戸駅,42.0
ＪＲ総武線/高円寺駅,28.0
ＪＲ中央線/飯田橋駅,13.0
都営新宿線/浜町駅,16.0
都営三田線/白金高輪駅,24.0
東京メトロ南北線/麻布十番駅,22.0
西武多摩川線/武蔵境駅,32.0
京王井の頭線/吉祥寺駅,27.0
東京メトロ千代田線/町屋駅,24.0
京成本線/町屋駅,24.0
都電荒川線/町屋駅前駅,28.0
ＪＲ総武線/浅草橋駅,12.0
東京メトロ日比谷線/恵比寿駅,24.0
都営大江戸線/清澄白河駅,16.0
東武東上線/成増駅,35.0
多摩都市モノレール/大塚・帝京大学駅,67.0
都営大江戸線/新御徒町駅,18.0
ＪＲ京浜東北線/浜松町駅,6.0
ＪＲ埼京線/恵比寿駅,24.0
都営三田線/白金台駅,28.0
新交通ゆりかもめ/竹芝駅,17.0
京成本線/新三河島駅,25.0
都営浅草線/人形町駅,14.0
東急東横線/代官山駅,33.0
ＪＲ京浜東北線/赤羽駅,16.0
つくばエクスプレス/浅草駅,19.0
都営大江戸線/西新宿五丁目駅,33.0
京王新線/幡ヶ谷駅,27.0
都営三田線/目黒駅,21.0
東京メトロ日比谷線/六本木駅,16.0
東京メトロ丸ノ内線/新宿御苑前駅,15.0
東京メトロ副都心線/新宿三丁目駅,17.0
都営新宿線/曙橋駅,20.0
ＪＲ山手線/品川駅,8.0
東京メトロ南北線/赤羽岩淵駅,33.0
東京メトロ南北線/志茂駅,35.0
西武池袋線/東久留米駅,50.0
